client,total_sites,role,total_sites_using,pct_sites_using
mobile,7940685,button,2581436,0.3250898379673794
desktop,5430532,button,1763537,0.32474479480095136
desktop,5430532,presentation,1350816,0.2487446902071473
mobile,7940685,presentation,1885381,0.23743304261534112
desktop,5430532,dialog,1237176,0.22781856363243969
desktop,5430532,navigation,1200551,0.22107428885420433
mobile,7940685,navigation,1741932,0.2193679764403197
mobile,7940685,dialog,1741422,0.2193037502432095
desktop,5430532,search,1066140,0.196323306814139
mobile,7940685,search,1503179,0.18930092303119944
desktop,5430532,main,913250,0.1681695274054181
mobile,7940685,main,1322741,0.16657769449361107
desktop,5430532,banner,717537,0.1321301485747621
mobile,7940685,banner,1047815,0.1319552406373002
desktop,5430532,img,686726,0.12645648713606697
mobile,7940685,img,958982,0.12076817050418194
mobile,7940685,contentinfo,903097,0.1137303645718222
desktop,5430532,contentinfo,617612,0.11372955725148107
mobile,7940685,none,895925,0.11282716793324506
desktop,5430532,none,596303,0.10980563230269152
desktop,5430532,tablist,473107,0.0871198254609309
mobile,7940685,region,661351,0.08328639153926896
mobile,7940685,tablist,637907,0.080334001411717
desktop,5430532,region,419809,0.07730531741641519
desktop,5430532,tab,415646,0.07653872585595665
desktop,5430532,tabpanel,392604,0.07229567931834303
desktop,5430532,menu,386295,0.07113391468828469
desktop,5430532,document,384056,0.07072161622470874
desktop,5430532,listbox,376161,0.06926779917694988
mobile,7940685,tab,545002,0.06863412917147577
mobile,7940685,document,538329,0.06779377345909074
mobile,7940685,menu,530266,0.06677836987615049
mobile,7940685,tabpanel,521128,0.06562758754439951
mobile,7940685,complementary,503694,0.0634320590729893
mobile,7940685,listbox,480972,0.0605705930911502
desktop,5430532,complementary,326367,0.06009853178288978
desktop,5430532,status,306051,0.05635746184720024
mobile,7940685,status,403848,0.05085808088345023
desktop,5430532,menuitem,269657,0.049655724337873346
mobile,7940685,menuitem,367539,0.04628555345036354
mobile,7940685,form,350961,0.0441978242431226
desktop,5430532,option,234685,0.04321583962676217
desktop,5430532,form,227772,0.041942852007869576
desktop,5430532,group,208129,0.03832571099848044
desktop,5430532,alert,203294,0.03743537465574275
mobile,7940685,option,296603,0.037352319100933985
mobile,7940685,group,278227,0.035038161065449644
mobile,7940685,alert,270501,0.03406519714609004
desktop,5430532,combobox,165874,0.030544705380614642
desktop,5430532,menubar,150635,0.027738534640804988
mobile,7940685,combobox,207120,0.026083392049930203
mobile,7940685,menubar,201340,0.025355495149347946
desktop,5430532,heading,137613,0.025340611196103806
mobile,7940685,link,188895,0.02378825000613927
mobile,7940685,heading,178308,0.022454989714363435
desktop,5430532,link,117002,0.021545218774145884
mobile,7940685,toolbar,133041,0.016754348019094072
desktop,5430532,toolbar,88404,0.01627906805447422
desktop,5430532,alertdialog,80170,0.014762826183512039
desktop,5430532,list,65142,0.01199550983218587
mobile,7940685,alertdialog,92945,0.011704909589034196
desktop,5430532,switch,63316,0.011659262849385659
desktop,5430532,article,60150,0.011076262878112126
desktop,5430532,slider,59667,0.010987321315848982
mobile,7940685,application,84446,0.010634598904250704
desktop,5430532,textbox,56275,0.010362704795773232
mobile,7940685,article,81296,0.010237907686805358
desktop,5430532,note,55216,0.010167696277270809
mobile,7940685,note,80725,0.010165999532785899
desktop,5430532,application,54204,0.009981342527767077
mobile,7940685,list,77417,0.009749410787608374
mobile,7940685,textbox,68335,0.008605680744167538
mobile,7940685,switch,65743,0.008279260542383938
mobile,7940685,slider,63802,0.00803482319220571
desktop,5430532,listitem,38598,0.0071075909321591324
mobile,7940685,menuitemradio,53473,0.006734053800144446
desktop,5430532,separator,33734,0.006211914412805228
desktop,5430532,menuitemradio,32989,0.006074727116974912
desktop,5430532,progressbar,32669,0.006015801030175312
desktop,5430532,timer,31320,0.005767390745510753
mobile,7940685,timer,45771,0.005764112290060618
mobile,7940685,menuitemcheckbox,43387,0.005463886302000395
desktop,5430532,tooltip,28454,0.005239633980611844
mobile,7940685,progressbar,41012,0.0051647937174185855
mobile,7940685,listitem,40998,0.0051630306453410504
mobile,7940685,separator,40993,0.0051624009767419305
desktop,5430532,menuitemcheckbox,25621,0.0047179539684141444
mobile,7940685,tooltip,31311,0.003943110701406742
mobile,7940685,grid,30429,0.0038320371605220457
desktop,5430532,log,20343,0.003746041824263258
mobile,7940685,row,29654,0.003734438527658508
mobile,7940685,log,28939,0.0036443959179844054
desktop,5430532,row,18963,0.0034919230749399875
desktop,5430532,grid,18165,0.0033449761459834874
mobile,7940685,,24528,0.0030889022798410966
mobile,7940685,gridcell,23008,0.002897483025708739
mobile,7940685,feed,22425,0.002824063667051394
desktop,5430532,radiogroup,15195,0.002798068402874709
desktop,5430532,,14918,0.0027470605089888064
desktop,5430532,tree,12788,0.0023548337437289753
desktop,5430532,gridcell,12252,0.0022561325483396472
desktop,5430532,treeitem,12177,0.002242321746745991
mobile,7940685,tree,17234,0.0021703417274454282
desktop,5430532,checkbox,11682,0.0021511704562278615
mobile,7940685,treeitem,16568,0.0020864698700426977
desktop,5430532,radio,10725,0.0019749446278928104
mobile,7940685,radiogroup,13337,0.001679578021291614
mobile,7940685,checkbox,12140,0.0015288353586623824
desktop,5430532,feed,7282,0.001340936762733375
desktop,5430532,rowgroup,6233,0.0011477696844434395
mobile,7940685,radio,8535,0.0010748442986971527
desktop,5430532,searchbox,5747,0.0010582756901165483
mobile,7940685,searchbox,7444,9.374506103692566E-4
desktop,5430532,columnheader,4581,8.435637613405096E-4
desktop,5430532,table,4561,8.398808809155346E-4
mobile,7940685,rowgroup,6648,8.372073693894167E-4
desktop,5430532,cell,4227,7.783767778184531E-4
desktop,5430532,header,4153,7.647501202460459E-4
desktop,5430532,modal,3916,7.211079872100929E-4
desktop,5430532,footer,3687,6.789390063441298E-4
mobile,7940685,header,5145,6.479289884940657E-4
mobile,7940685,columnheader,5060,6.372246223090326E-4
mobile,7940685,table,5053,6.363430862702651E-4
desktop,5430532,text,3440,6.334554330956893E-4
mobile,7940685,modal,4924,6.200976364129795E-4
mobile,7940685,text,4681,5.89495742495767E-4
mobile,7940685,cell,4594,5.785395088710861E-4
desktop,5430532,list-item,3063,5.640331370849118E-4
mobile,7940685,footer,4050,5.100315652868738E-4
desktop,5430532,last,2511,4.6238563735560346E-4
desktop,5430532,first,2511,4.6238563735560346E-4
desktop,5430532,image,2309,4.251885450633566E-4
desktop,5430532,carousel,2203,4.0566927881098943E-4
desktop,5430532,none presentation,2106,3.8780730874986096E-4
mobile,7940685,first,2856,3.5966670381711404E-4
mobile,7940685,last,2855,3.5954077009729007E-4
mobile,7940685,carousel,2802,3.5286628294662237E-4
mobile,7940685,none presentation,2737,3.446805911580676E-4
mobile,7940685,image,2736,3.4455465743824366E-4
desktop,5430532,ssw-modal,1685,3.102826758041385E-4
desktop,5430532,tab-panel,1613,2.9702430627422875E-4
mobile,7940685,ssw-modal,2051,2.5829005935885886E-4
desktop,5430532,nav,1294,2.3828236349587848E-4
mobile,7940685,nav,1751,2.20509943411683E-4
desktop,5430532,spinbutton,1152,2.1213391247855643E-4
mobile,7940685,tab-panel,1628,2.050200958733409E-4
desktop,5430532,options,1033,1.9022077394995556E-4
desktop,5430532,logo,977,1.799087087600257E-4
desktop,5430532,menu-item,955,1.7585754029255329E-4
desktop,5430532,marquee,912,1.6793934737885719E-4
desktop,5430532,content,909,1.6738691531511092E-4
mobile,7940685,section,1318,1.6598064272792587E-4
mobile,7940685,menu-item,1275,1.6056549277549732E-4
mobile,7940685,spinbutton,1263,1.590542881376103E-4
mobile,7940685,logo,1198,1.5086859634905552E-4
mobile,7940685,meun,1079,1.3588248369000912E-4
mobile,7940685,options,1072,1.350009476512417E-4
desktop,5430532,figure,721,1.327678393203465E-4
mobile,7940685,content,970,1.2215570822920189E-4
mobile,7940685,select,969,1.2202977450937797E-4
desktop,5430532,curator feed,593,1.0919740460050691E-4
mobile,7940685,searchform,843,1.0616212581156412E-4
mobile,7940685,marquee,821,1.0339158397543789E-4
mobile,7940685,figure,780,9.822830146265719E-5
desktop,5430532,pagedescription,523,9.630732311309463E-5
mobile,7940685,show_hotels,733,9.230941663093297E-5
desktop,5430532,searchform,478,8.802084215690102E-5
mobile,7940685,autocomplete-spinner,698,8.790173643709579E-5
mobile,7940685,flights,686,8.639053179920876E-5
mobile,7940685,flights-origin_country__name,685,8.626459807938484E-5
mobile,7940685,flights-dates-depart-value,685,8.626459807938484E-5
mobile,7940685,flights-origin_details,685,8.626459807938484E-5
mobile,7940685,swap_button,685,8.626459807938484E-5
mobile,7940685,flights-origin_right_block,685,8.626459807938484E-5
mobile,7940685,flights-dates-depart,685,8.626459807938484E-5
mobile,7940685,flights-destination_right_block,685,8.626459807938484E-5
mobile,7940685,flights-dates-return-value,685,8.626459807938484E-5
mobile,7940685,flights-destination_details,685,8.626459807938484E-5
mobile,7940685,flights-dates-return,685,8.626459807938484E-5
mobile,7940685,flights-origin_country__pseudo,685,8.626459807938484E-5
mobile,7940685,flights-dates-return-clear,685,8.626459807938484E-5
mobile,7940685,flights-destination_country__name,685,8.626459807938484E-5
mobile,7940685,flights-destination,685,8.626459807938484E-5
mobile,7940685,flights_submit,685,8.626459807938484E-5
mobile,7940685,flights-destination_country__pseudo,685,8.626459807938484E-5
mobile,7940685,passengers_amount,685,8.626459807938484E-5
mobile,7940685,passengers,685,8.626459807938484E-5
mobile,7940685,flights-origin,685,8.626459807938484E-5
mobile,7940685,navegação,684,8.613866435956092E-5
mobile,7940685,basic,683,8.6012730639737E-5
desktop,5430532,bookmark,461,8.489039379567232E-5
desktop,5430532,submit,445,8.194408945569237E-5
mobile,7940685,curator feed,637,8.02197795278367E-5
mobile,7940685,input,627,7.896044232959751E-5
desktop,5430532,input,416,7.660391283947871E-5
desktop,5430532,section,406,7.476247262699124E-5
desktop,5430532,subscribe,404,7.439418458449375E-5
desktop,5430532,rowheader,398,7.328932045700126E-5
desktop,5430532,basic,397,7.310517643575252E-5
desktop,5430532,sidebar,386,7.107959220201631E-5
desktop,5430532,login,378,6.960644003202633E-5
desktop,5430532,show_hotels,371,6.83174318832851E-5
desktop,5430532,custom,367,6.758085579829012E-5
desktop,5430532,menuitem link,364,6.702842373454387E-5
mobile,7940685,bookmark,519,6.535960058861421E-5
desktop,5430532,cart,353,6.500283950080765E-5
desktop,5430532,hide_elements,352,6.481869547955891E-5
desktop,5430532,autocomplete-spinner,351,6.463455145831016E-5
mobile,7940685,subscribe,509,6.410026339037501E-5
desktop,5430532,flights,348,6.408211939456392E-5
desktop,5430532,flights-origin,346,6.371383135206643E-5
desktop,5430532,swap_button,346,6.371383135206643E-5
desktop,5430532,flights-destination_right_block,346,6.371383135206643E-5
desktop,5430532,flights-destination,346,6.371383135206643E-5
desktop,5430532,passengers_amount,346,6.371383135206643E-5
desktop,5430532,flights-dates-return,346,6.371383135206643E-5
desktop,5430532,flights-origin_right_block,346,6.371383135206643E-5
desktop,5430532,flights-destination_details,346,6.371383135206643E-5
desktop,5430532,flights_submit,346,6.371383135206643E-5
desktop,5430532,flights-dates-depart,346,6.371383135206643E-5
desktop,5430532,flights-dates-return-clear,346,6.371383135206643E-5
desktop,5430532,flights-origin_details,346,6.371383135206643E-5
desktop,5430532,flights-dates-return-value,346,6.371383135206643E-5
desktop,5430532,flights-origin_country__name,346,6.371383135206643E-5
desktop,5430532,flights-destination_country__name,346,6.371383135206643E-5
desktop,5430532,flights-dates-depart-value,346,6.371383135206643E-5
desktop,5430532,flights-origin_country__pseudo,346,6.371383135206643E-5
desktop,5430532,passengers,346,6.371383135206643E-5
desktop,5430532,flights-destination_country__pseudo,346,6.371383135206643E-5
desktop,5430532,contactus,328,6.0399238969588986E-5
mobile,7940685,submit,479,6.032225179565743E-5
desktop,5430532,icon,321,5.9110230820847755E-5
desktop,5430532,topbar,307,5.65322145233653E-5
desktop,5430532,user_forgotpassword,303,5.579563843837031E-5
desktop,5430532,”presentation”,287,5.284933409839036E-5
desktop,5430532,mobile_menu,286,5.266519007714161E-5
mobile,7940685,custom,411,5.175875884763091E-5
mobile,7940685,place,409,5.1506891407983064E-5
mobile,7940685,hotels,401,5.049942164939171E-5
mobile,7940685,hide_elements,399,5.024755420974387E-5
mobile,7940685,hotels-dates-checkin,397,4.999568677009603E-5
mobile,7940685,hotels-form,397,4.999568677009603E-5
mobile,7940685,hotels-dates-checkout,397,4.999568677009603E-5
mobile,7940685,hotels_submit,397,4.999568677009603E-5
desktop,5430532,toggle,270,4.971888573716166E-5
mobile,7940685,hotels-dates-checkout-value,393,4.949195189080035E-5
mobile,7940685,hotels-dates-checkout-clear,393,4.949195189080035E-5
mobile,7940685,hotels-dates-checkin-value,393,4.949195189080035E-5
mobile,7940685,guests,393,4.949195189080035E-5
mobile,7940685,place_details,393,4.949195189080035E-5
desktop,5430532,complimentary,266,4.898230965216667E-5
desktop,5430532,checkout,263,4.842987758842043E-5
mobile,7940685,cart,379,4.772887981326548E-5
mobile,7940685,sidebar,366,4.609174145555453E-5
desktop,5430532,items,250,4.603600531218672E-5
mobile,7940685,button ,356,4.4832404257315333E-5
mobile,7940685,contactus,354,4.458053681766749E-5
desktop,5430532,label,242,4.456285314219675E-5
mobile,7940685,user_forgotpassword,351,4.420273565819573E-5
desktop,5430532,presentational,240,4.419456509969926E-5
desktop,5430532,doc-subtitle,236,4.345798901470427E-5
mobile,7940685,login,337,4.2439663580660864E-5
mobile,7940685,topbar,330,4.1558127541893426E-5
mobile,7940685,calendar,329,4.1432193822069504E-5
mobile,7940685,icon,328,4.130626010224559E-5
desktop,5430532,content-info,223,4.106411673847056E-5
mobile,7940685,navegation,325,4.092845894277383E-5
desktop,5430532,popper,222,4.087997271722181E-5
mobile,7940685,list-item,323,4.067659150312599E-5
mobile,7940685,”presentation”,320,4.029879034365423E-5
desktop,5430532,place,218,4.014339663222682E-5
desktop,5430532,footer_link,216,3.977510858972933E-5
desktop,5430532,"""dialog""",215,3.959096456848058E-5
desktop,5430532,navegation,213,3.922267652598309E-5
mobile,7940685,mobile_menu,310,3.9039453145415034E-5
desktop,5430532,hotels,212,3.903853250473434E-5
desktop,5430532,hotels-dates-checkout,209,3.8486100440988104E-5
desktop,5430532,hotels_submit,209,3.8486100440988104E-5
desktop,5430532,hotels-form,209,3.8486100440988104E-5
desktop,5430532,hotels-dates-checkin,209,3.8486100440988104E-5
mobile,7940685,checkout,304,3.828385082647152E-5
mobile,7940685,"""dialog""",301,3.790604966699976E-5
desktop,5430532,place_details,205,3.7749524355993115E-5
desktop,5430532,hotels-dates-checkin-value,205,3.7749524355993115E-5
desktop,5430532,hotels-dates-checkout-value,205,3.7749524355993115E-5
desktop,5430532,guests,205,3.7749524355993115E-5
desktop,5430532,hotels-dates-checkout-clear,205,3.7749524355993115E-5
desktop,5430532,bar,204,3.756538033474437E-5
desktop,5430532,widget,204,3.756538033474437E-5
desktop,5430532,fancybox-preloader-content,203,3.738123631349562E-5
desktop,5430532,price-check-popup-form-content,203,3.738123631349562E-5
desktop,5430532,create-short-customer-modal,203,3.738123631349562E-5
desktop,5430532,goods-info-fancybox-content,203,3.738123631349562E-5
desktop,5430532,make-name-description-modal,203,3.738123631349562E-5
desktop,5430532,added-to-basket-modal,203,3.738123631349562E-5
desktop,5430532,stat-info_modal,203,3.738123631349562E-5
desktop,5430532,price-name-description-modal,203,3.738123631349562E-5
desktop,5430532,modal-link-container-content,201,3.7012948270998126E-5
mobile,7940685,field,293,3.689857990840841E-5
desktop,5430532,title,200,3.682880424974938E-5
desktop,5430532,field,200,3.682880424974938E-5
desktop,5430532,yes-btn,198,3.6460516207251884E-5
desktop,5430532,no-btn,198,3.6460516207251884E-5
desktop,5430532,message-content,198,3.6460516207251884E-5
desktop,5430532,more-search-result-content,196,3.609222816475439E-5
desktop,5430532,top_menu,196,3.609222816475439E-5
mobile,7940685,rowheader,286,3.601704386964097E-5
mobile,7940685,items,285,3.589111014981705E-5
desktop,5430532,calendar,190,3.498736403726191E-5
mobile,7940685,complimentary,271,3.412803807228218E-5
mobile,7940685,bar,263,3.312056831369082E-5
mobile,7940685,toggle,260,3.274276715421906E-5
mobile,7940685,presentational,259,3.261683343439514E-5
desktop,5430532,pagination,176,3.240934773977946E-5
desktop,5430532,submenu,172,3.167277165478447E-5
desktop,5430532,home,168,3.093619556978948E-5
mobile,7940685,body,241,3.0350026477564593E-5
mobile,7940685,wrapper,240,3.0224092757740674E-5
desktop,5430532,tabs,164,3.0199619484794493E-5
desktop,5430532,wrapper,164,3.0199619484794493E-5
desktop,5430532,user_create,163,3.0015475463545746E-5
mobile,7940685,supplementary,237,2.9846291598268916E-5
mobile,7940685,content-info,234,2.9468490438797158E-5
mobile,7940685,footer_link,234,2.9468490438797158E-5
desktop,5430532,masthead,160,2.9463043399799504E-5
mobile,7940685,preloader,229,2.883882183967756E-5
mobile,7940685,doc-subtitle,228,2.871288811985364E-5
mobile,7940685,member,226,2.8461020680205802E-5
mobile,7940685,popper,226,2.8461020680205802E-5
mobile,7940685,closed,226,2.8461020680205802E-5
desktop,5430532,body,154,2.8358179272307023E-5
mobile,7940685,opened,225,2.833508696038188E-5
desktop,5430532,presenation,152,2.798989122980953E-5
mobile,7940685,price-check-popup-form-content,222,2.7957285800910123E-5
mobile,7940685,price-name-description-modal,222,2.7957285800910123E-5
mobile,7940685,create-short-customer-modal,222,2.7957285800910123E-5
mobile,7940685,stat-info_modal,222,2.7957285800910123E-5
mobile,7940685,fancybox-preloader-content,222,2.7957285800910123E-5
mobile,7940685,goods-info-fancybox-content,222,2.7957285800910123E-5
mobile,7940685,make-name-description-modal,222,2.7957285800910123E-5
mobile,7940685,added-to-basket-modal,222,2.7957285800910123E-5
desktop,5430532,isearch-special,150,2.7621603187312034E-5
desktop,5430532,isearch-product,150,2.7621603187312034E-5
desktop,5430532,isearch-nothing,150,2.7621603187312034E-5
desktop,5430532,isearch-container,150,2.7621603187312034E-5
desktop,5430532,isearch-price,150,2.7621603187312034E-5
desktop,5430532,isearch-heading-product,150,2.7621603187312034E-5
desktop,5430532,isearch-more,150,2.7621603187312034E-5
desktop,5430532,isearch-loading,150,2.7621603187312034E-5
desktop,5430532,isearch-suggestion,150,2.7621603187312034E-5
desktop,5430532,isearch-heading-suggestion,150,2.7621603187312034E-5
mobile,7940685,modal-link-container-content,219,2.7579484641438365E-5
mobile,7940685,message-content,215,2.707574976214269E-5
mobile,7940685,yes-btn,215,2.707574976214269E-5
mobile,7940685,no-btn,215,2.707574976214269E-5
desktop,5430532,close,146,2.6885027102317048E-5
mobile,7940685,more-search-result-content,213,2.682388232249485E-5
mobile,7940685,navigaiton,212,2.6697948602670927E-5
mobile,7940685,top_menu,210,2.644608116302309E-5
mobile,7940685,label,209,2.632014744319917E-5
mobile,7940685,right-icon,208,2.619421372337525E-5
mobile,7940685,home,208,2.619421372337525E-5
desktop,5430532,branding,141,2.596430699607331E-5
desktop,5430532,dropdown,139,2.559601895357582E-5
desktop,5430532,member,138,2.5411874932327073E-5
desktop,5430532,directory,136,2.504358688982958E-5
mobile,7940685,description,197,2.4808942805312137E-5
mobile,7940685,navigation menu,195,2.4557075365664297E-5
desktop,5430532,navigation menu,133,2.4491154826083337E-5
desktop,5430532,tablpanel,133,2.4491154826083337E-5
desktop,5430532,button ,133,2.4491154826083337E-5
desktop,5430532,site-footer,129,2.375457874108835E-5
desktop,5430532,aside,127,2.3386290698590856E-5
desktop,5430532,right-icon,124,2.2833858634844614E-5
mobile,7940685,mobile header,180,2.2668069568305507E-5
desktop,5430532,description,123,2.2649714613595867E-5
desktop,5430532,spinner,123,2.2649714613595867E-5
mobile,7940685,powered_by,177,2.2290268408833745E-5
mobile,7940685,user_create,177,2.2290268408833745E-5
mobile,7940685,tabs,172,2.166059980971415E-5
mobile,7940685,submenu,171,2.153466608989023E-5
mobile,7940685,masthead,170,2.140873237006631E-5
desktop,5430532,languages,116,2.136070646485464E-5
mobile,7940685,widget,169,2.1282798650242393E-5
mobile,7940685,isearch-nothing,168,2.115686493041847E-5
mobile,7940685,isearch-heading-suggestion,168,2.115686493041847E-5
mobile,7940685,isearch-price,168,2.115686493041847E-5
mobile,7940685,isearch-container,168,2.115686493041847E-5
mobile,7940685,isearch-loading,168,2.115686493041847E-5
mobile,7940685,isearch-more,168,2.115686493041847E-5
mobile,7940685,isearch-suggestion,168,2.115686493041847E-5
mobile,7940685,isearch-special,168,2.115686493041847E-5
mobile,7940685,isearch-heading-product,168,2.115686493041847E-5
mobile,7940685,isearch-product,168,2.115686493041847E-5
mobile,7940685,title,165,2.0779063770946713E-5
mobile,7940685,treegrid,164,2.0653130051122795E-5
desktop,5430532,panel-wrap,110,2.025584233736216E-5
desktop,5430532,navigaiton,109,2.007169831611341E-5
mobile,7940685,close,158,1.9897527732179275E-5
mobile,7940685,languages,158,1.9897527732179275E-5
mobile,7940685,aside,158,1.9897527732179275E-5
desktop,5430532,copyright,108,1.9887554294864664E-5
desktop,5430532,page,107,1.9703410273615917E-5
desktop,5430532,button presentation,106,1.951926625236717E-5
desktop,5430532,definition,105,1.9335122231118426E-5
mobile,7940685,spinner,153,1.926785913305968E-5
desktop,5430532,mobile navigation,104,1.915097820986968E-5
mobile,7940685,page,151,1.901599169341184E-5
desktop,5430532,progress,103,1.896683418862093E-5
mobile,7940685,site-footer,146,1.8386323094292243E-5
mobile,7940685,pagedescription,139,1.7504787055524805E-5
mobile,7940685,tabpanel document,138,1.7378853335700887E-5
mobile,7940685,presenation,136,1.7126985896053047E-5
mobile,7940685,tablpanel,134,1.687511845640521E-5
mobile,7940685,pagination,132,1.662325101675737E-5
mobile,7940685,directory,129,1.6245449857285613E-5
mobile,7940685,copyright,128,1.611951613746169E-5
mobile,7940685,equalheight-in-normalview-activator,116,1.460831149957466E-5
mobile,7940685,uxie_widget_tutu,116,1.460831149957466E-5
mobile,7940685,secondary,115,1.448237777975074E-5
mobile,7940685,span,113,1.4230510340102901E-5
mobile,7940685,panel,108,1.3600841740983303E-5
mobile,7940685,navigaton,107,1.3474908021159383E-5
mobile,7940685,navigation ,106,1.3348974301335463E-5
mobile,7940685,info,106,1.3348974301335463E-5
mobile,7940685,panel-wrap,105,1.3223040581511545E-5
mobile,7940685,rep,105,1.3223040581511545E-5
mobile,7940685,container,105,1.3223040581511545E-5
mobile,7940685,progress-bar,103,1.2971173141863705E-5
mobile,7940685,email,103,1.2971173141863705E-5
mobile,7940685,right-column,102,1.2845239422039785E-5
mobile,7940685,clear,102,1.2845239422039785E-5
mobile,7940685,left_category,101,1.2719305702215867E-5
mobile,7940685,formbutton,101,1.2719305702215867E-5
