client,feature,pages,total,pct
mobile,max-width,8582825,10328202,0.8310086305438256
desktop,max-width,6052770,7303959,0.8286971490393087
mobile,min-width,8171803,10328202,0.7912125459978416
desktop,min-width,5755683,7303959,0.7880223588330657
desktop,-webkit-min-device-pixel-ratio,2622237,7303959,0.359015843325517
mobile,-webkit-min-device-pixel-ratio,3628860,10328202,0.3513544758322891
mobile,prefers-reduced-motion,3527928,10328202,0.34158201011173095
desktop,prefers-reduced-motion,2455136,7303959,0.3361377028540275
mobile,orientation,3100990,10328202,0.300244902258883
desktop,orientation,2154008,7303959,0.2949096510536272
mobile,max-device-width,2697673,10328202,0.26119483333110644
desktop,max-device-width,1837809,7303959,0.2516181977472765
desktop,-ms-high-contrast,1804101,7303959,0.24700316636498096
desktop,max-height,1758647,7303959,0.24077996604307336
mobile,-ms-high-contrast,2434388,10328202,0.23570298102225343
mobile,max-height,2388154,10328202,0.2312265000239151
desktop,min-resolution,1382235,7303959,0.18924462746847293
mobile,min-resolution,1945458,10328202,0.18836366678343433
desktop,min-device-pixel-ratio,910108,7303959,0.12460475202557955
desktop,-webkit-transform-3d,896119,7303959,0.12268948935775789
desktop,transform-3d,894541,7303959,0.12247344214281597
mobile,-webkit-transform-3d,1258693,10328202,0.12186951804389573
mobile,transform-3d,1255897,10328202,0.12159880296686684
desktop,min-height,869426,7303959,0.11903489600639872
mobile,min-device-pixel-ratio,1167273,10328202,0.11301802578996809
mobile,min-height,1145258,10328202,0.11088648343632318
desktop,min--moz-device-pixel-ratio,796484,7303959,0.10904825725336081
mobile,min--moz-device-pixel-ratio,1048601,10328202,0.10152793293547124
desktop,forced-colors,634937,7303959,0.08693052630771887
desktop,prefers-color-scheme,599152,7303959,0.08203112859751814
mobile,forced-colors,838823,10328202,0.08121675002096203
mobile,min-device-width,827092,10328202,0.08008092792917877
desktop,-o-min-device-pixel-ratio,583946,7303959,0.07994924396481415
desktop,min-device-width,581231,7303959,0.07957752774899202
mobile,prefers-color-scheme,791369,10328202,0.0766221458488128
mobile,-o-min-device-pixel-ratio,752892,10328202,0.07289671522690977
desktop,hover,402752,7303959,0.055141601972300225
mobile,hover,547396,10328202,0.05300012528802206
desktop,pointer,177200,7303959,0.024260815264707813
mobile,pointer,246714,10328202,0.02388741041277078
mobile,min-color-index,132812,10328202,0.012859159803419801
desktop,min-color-index,93772,7303959,0.012838516755091314
mobile,print,131049,10328202,0.0126884621350357
desktop,device-width,91719,7303959,0.012557436316386771
mobile,prefers-contrast,125794,10328202,0.012179661087186327
desktop,print,88299,7303959,0.012089197105295909
mobile,device-width,121666,10328202,0.011779978741701605
desktop,prefers-contrast,81142,7303959,0.011109317563255764
mobile,-ms-transform-3d,111769,10328202,0.010821728699729149
desktop,min-aspect-ratio,76281,7303959,0.010443788088076618
desktop,max-aspect-ratio,75400,7303959,0.010323168572003211
desktop,-ms-transform-3d,73636,7303959,0.010081655715756345
mobile,-moz-min-device-pixel-ratio,97706,10328202,0.009460117065874582
desktop,device-height,69056,7303959,0.009454598526634665
mobile,min-aspect-ratio,93381,10328202,0.00904136073248761
mobile,max-aspect-ratio,93036,10328202,0.009007957048090268
mobile,device-height,92876,10328202,0.00899246548431179
desktop,-moz-min-device-pixel-ratio,64000,7303959,0.008762371201700338
desktop,width,54239,7303959,0.00742597268139101
mobile,-webkit-device-pixel-ratio,75836,10328202,0.007342613941903925
mobile,width,74444,10328202,0.007207837337031169
desktop,-webkit-device-pixel-ratio,45923,7303959,0.006287412073370072
mobile,device-aspect-ratio,64429,10328202,0.006238162266772086
desktop,device-aspect-ratio,43377,7303959,0.005938833994002431
mobile,max-device-height,59733,10328202,0.005783484869873769
desktop,max-device-height,37290,7303959,0.0051054503454907125
mobile,-moz-transform-3d,32403,10328202,0.0031373321319625625
mobile,-o-transform-3d,32380,10328202,0.0031351052196694064
desktop,-moz-touch-enabled,21506,7303959,0.002944430547871367
desktop,-moz-transform-3d,21323,7303959,0.0029193756427165047
desktop,-o-transform-3d,21301,7303959,0.0029163635776159203
mobile,-moz-touch-enabled,27452,10328202,0.002657965055292296
mobile,any-pointer,22263,10328202,0.002155554277501544
mobile,color-index,21825,10328202,0.0021131461216579613
desktop,any-hover,15414,7303959,0.002110362339109516
desktop,any-pointer,15259,7303959,0.0020891409713553978
mobile,any-hover,19952,10328202,0.0019317980031761579
desktop,-webkit-max-device-pixel-ratio,11369,7303959,0.001556553096752049
mobile,-webkit-max-device-pixel-ratio,14499,10328202,0.001403826145150918
desktop,768px-1,9567,7303959,0.001309837582604174
mobile,768px-1,13060,10328202,0.0012644988934182348
desktop,color-index,8872,7303959,0.0012146837078357094
desktop,--viewport-small,8836,7303959,0.001209754874034753
desktop,--viewport-small-down,8808,7303959,0.001205921336634009
mobile,height,11962,10328202,0.0011581880369884322
mobile,--viewport-small,10093,10328202,9.772272076010906E-4
mobile,--viewport-small-down,10064,10328202,9.744193616662416E-4
mobile,min-device-height,9557,10328202,9.253304689431907E-4
desktop,min-device-height,5702,7303959,7.806725092514896E-4
mobile,max--moz-device-pixel-ratio,6955,10328202,6.733989129956985E-4
mobile,resolution,6712,10328202,6.498711005071357E-4
desktop,max--moz-device-pixel-ratio,4656,7303959,6.374625049236996E-4
desktop,height,4398,7303959,6.021391960168451E-4
desktop,resolution,3790,7303959,5.188966696006919E-4
mobile,min-devicepixel-ratio,4889,10328202,4.7336409570610644E-4
mobile,-o-device-pixel-ratio,4852,10328202,4.697816715823335E-4
mobile,dm,4708,10328202,4.558392641817036E-4
desktop,max-resolution,3176,7303959,4.3483267088437926E-4
desktop,-o-device-pixel-ratio,3165,7303959,4.33326638334087E-4
desktop,min-devicepixel-ratio,3054,7303959,4.1812940078113803E-4
desktop,color,2997,7303959,4.1032541392962366E-4
mobile,max-resolution,3524,10328202,3.4120169222096936E-4
mobile,color,3248,10328202,3.1447874470309545E-4
desktop,-ms-min-device-pixel-ratio,2291,7303959,3.136655066108668E-4
mobile,--breakpoint-sm,2969,10328202,2.874653303643751E-4
desktop,-o-max-device-pixel-ratio,2061,7303959,2.821757351047562E-4
mobile,-o-max-device-pixel-ratio,2905,10328202,2.812687048529841E-4
mobile,max-device-pixel-ratio,2756,10328202,2.6684218608427683E-4
desktop,max-device-pixel-ratio,1831,7303959,2.506859635986456E-4
mobile,-ms-min-device-pixel-ratio,2519,10328202,2.4389530723740687E-4
mobile,display-mode,2416,10328202,2.339226130550119E-4
mobile,1,2282,10328202,2.209484283905369E-4
desktop,768px-1px,1595,7303959,2.1837471979237563E-4
mobile,768px-1px,2032,10328202,1.9674285998666564E-4
desktop,display-mode,1430,7303959,1.9578423153799194E-4
desktop,1,1400,7303959,1.916768700371949E-4
desktop,--breakpoint-sm,1365,7303959,1.8688494828626503E-4
desktop,update,1196,7303959,1.6374681183177508E-4
desktop,--widescreen,1182,7303959,1.618300431314031E-4
mobile,400px-1px,1479,10328202,1.432001426773024E-4
mobile,500px-1px,1477,10328202,1.4300649813007142E-4
mobile,--widescreen,1465,10328202,1.4184463084668562E-4
mobile,710px-1px,1465,10328202,1.4184463084668562E-4
desktop,396px-1px,1021,7303959,1.397872030771257E-4
mobile,-moz-max-device-pixel-ratio,1311,10328202,1.269340007099009E-4
mobile,991px,1303,10328202,1.2615942252097704E-4
mobile,max-with,1301,10328202,1.2596577797374607E-4
mobile,max-device-aspect-ratio,1297,10328202,1.255784888792841E-4
mobile,update,1294,10328202,1.2528802205843766E-4
desktop,--sm-viewport,861,7303959,1.1788127507287486E-4
desktop,--md-viewport,861,7303959,1.1788127507287486E-4
desktop,--lg-viewport,858,7303959,1.1747053892279516E-4
mobile,min-device-aspect-ratio,1182,10328202,1.1444392741350334E-4
desktop,991px,821,7303959,1.1240479307181215E-4
mobile,396px-1px,1150,10328202,1.1134561465780782E-4
mobile,575px,1145,10328202,1.1086150328973039E-4
desktop,-moz-max-device-pixel-ratio,808,7303959,1.1062493642146677E-4
desktop,-moz-images-in-menus,808,7303959,1.1062493642146677E-4
mobile,min-widht,1134,10328202,1.0979645827996006E-4
desktop,500px-1px,751,7303959,1.0282094956995241E-4
desktop,400px-1px,749,7303959,1.0254712546989927E-4
desktop,min-width1025px,747,7303959,1.0227330136984614E-4
mobile,--md-viewport,1051,10328202,1.017602095698748E-4
mobile,--sm-viewport,1051,10328202,1.017602095698748E-4
mobile,--lg-viewport,1045,10328202,1.0117927592818189E-4
desktop,710px-1px,738,7303959,1.0104109291960702E-4
desktop,modernizr,727,7303959,9.953506036931477E-5
desktop,-webkit-touch-enabled,724,7303959,9.912432421923507E-5
desktop,touch-enabled,724,7303959,9.912432421923507E-5
desktop,-ms-touch-enabled,722,7303959,9.885050011918194E-5
desktop,-o-touch-enabled,721,7303959,9.871358806915537E-5
mobile,modernizr,1009,10328202,9.769367407802442E-5
mobile,-webkit-touch-enabled,998,10328202,9.662862906825408E-5
mobile,touch-enabled,997,10328202,9.65318067946386E-5
mobile,-ms-touch-enabled,995,10328202,9.633816224740763E-5
mobile,-o-touch-enabled,993,10328202,9.614451770017667E-5
desktop,max-with,684,7303959,9.364784221817237E-5
desktop,575px,673,7303959,9.214180966788012E-5
mobile,-moz-images-in-menus,944,10328202,9.140022629301789E-5
mobile,aspect-ratio,931,10328202,9.014153673601658E-5
desktop,aspect-ratio,655,7303959,8.96773927674019E-5
desktop,min-wdith,646,7303959,8.84451843171628E-5
mobile,min-wdith,896,10328202,8.675275715947462E-5
desktop,mobile,590,7303959,8.077810951567499E-5
desktop,small-down,579,7303959,7.927207696538275E-5
desktop,onlyscreenandmin-width1200px,569,7303959,7.790295646511707E-5
desktop,onlyscreenandmin-width481px,569,7303959,7.790295646511707E-5
desktop,onlyscreenandmin-width481pxandmax-width1023px,568,7303959,7.77660444150905E-5
desktop,onlyscreenandmax-width1023px,568,7303959,7.77660444150905E-5
desktop,onlyscreenandmin-width1024px,568,7303959,7.77660444150905E-5
desktop,onlyscreenandmax-width480px,567,7303959,7.762913236506394E-5
desktop,768px,566,7303959,7.749222031503737E-5
mobile,min-width1025px,785,10328202,7.600548478815577E-5
mobile,768px,780,10328202,7.552137342007834E-5
mobile,max-widh,779,10328202,7.542455114646286E-5
mobile,12-1,769,10328202,7.445632841030802E-5
desktop,max-wdith,539,7303959,7.379559496432003E-5
mobile,mix-width,755,10328202,7.310081657969122E-5
desktop,min-widht,533,7303959,7.297412266416063E-5
desktop,mix-width,529,7303959,7.242647446405436E-5
mobile,18,746,10328202,7.222941611715185E-5
desktop,767px,527,7303959,7.215265036400122E-5
desktop,max-widh,511,7303959,6.996205756357613E-5
desktop,18,510,7303959,6.982514551354956E-5
mobile,small-down,699,10328202,6.767876925722405E-5
mobile,767px,695,10328202,6.729148016276212E-5
mobile,mobile,664,10328202,6.428998968068207E-5
desktop,matco-width,462,7303959,6.325336711227432E-5
mobile,max-wdith,651,10328202,6.303130012368078E-5
desktop,-moz-os-version,436,7303959,5.969365381158355E-5
desktop,860,429,7303959,5.873526946139758E-5
desktop,min-device-pixelxel-ratio,426,7303959,5.832453331131788E-5
desktop,1024px-1px,425,7303959,5.818762126129131E-5
desktop,min-widtfh,423,7303959,5.791379716123817E-5
desktop,min-device-aspect-ratio,422,7303959,5.77768851112116E-5
mobile,-moz-os-version,592,10328202,5.731878598036715E-5
desktop,device-max-width,417,7303959,5.709232486107877E-5
mobile,matco-width,574,10328202,5.5575985055288426E-5
desktop,max-widht,397,7303959,5.435408386054741E-5
desktop,inverted-colors,394,7303959,5.3943347710467707E-5
desktop,min--moz--device-pixel-ratio,391,7303959,5.3532611560388006E-5
desktop,12-1,381,7303959,5.216349106012232E-5
mobile,min-widtfh,534,10328202,5.170309411066902E-5
mobile,max-widht,502,10328202,4.86047813549735E-5
mobile,860,496,10328202,4.802384771328059E-5
mobile,1024px-1px,470,10328202,4.550646859927798E-5
mobile,min--moz--device-pixel-ratio,469,10328202,4.540964632566249E-5
desktop,device-pixel-ratio,331,7303959,4.531788855879393E-5
mobile,-ms-max-device-pixel-ratio,461,10328202,4.463506813673861E-5
desktop,-ms-max-device-pixel-ratio,325,7303959,4.449641625863453E-5
desktop,max-device-aspect-ratio,325,7303959,4.449641625863453E-5
desktop,max-moz-device-pixel-ratio,313,7303959,4.2853471658315714E-5
desktop,min-with,311,7303959,4.257964755826258E-5
mobile,device-pixel-ratio,434,10328202,4.2020866749120516E-5
desktop,-webkit-min-pixel-ratio,300,7303959,4.1073615007970336E-5
desktop,min-moz-device-pixel-ratio,298,7303959,4.07997909079172E-5
desktop,min-width768px,295,7303959,4.0389054757837495E-5
mobile,inverted-colors,415,10328202,4.01812435504263E-5
desktop,-moz-device-pixel-ratio,290,7303959,3.970449450770466E-5
mobile,onlyscreenandmin-width481px,388,10328202,3.75670421628082E-5
mobile,onlyscreenandmax-width1023px,387,10328202,3.7470219889192716E-5
mobile,onlyscreenandmin-width481pxandmax-width1023px,387,10328202,3.7470219889192716E-5
mobile,onlyscreenandmin-width1200px,387,10328202,3.7470219889192716E-5
mobile,onlyscreenandmin-width1024px,387,10328202,3.7470219889192716E-5
mobile,onlyscreenandmax-width480px,386,10328202,3.737339761557723E-5
desktop,450px,268,7303959,3.6692429407120166E-5
mobile,max-moz-device-pixel-ratio,371,10328202,3.592106351134496E-5
desktop,801px,259,7303959,3.5460220956881057E-5
mobile,1280px-1px,366,10328202,3.5436952143267534E-5
mobile,min-moz-device-pixel-ratio,363,10328202,3.514648532242108E-5
mobile,min-with,361,10328202,3.4952840775190104E-5
mobile,801px,345,10328202,3.3403684397342345E-5
mobile,-moz-device-pixel-ratio,342,10328202,3.311321757649589E-5
desktop,992px,227,7303959,3.1079035356030886E-5
mobile,min-width768px,314,10328202,3.0402193915262308E-5
desktop,1280px-1px,221,7303959,3.025756305587148E-5
mobile,1240px,303,10328202,2.9337148905491972E-5
desktop,monochrome,214,7303959,2.9299178705685505E-5
mobile,-webkit-min-pixel-ratio,294,10328202,2.8465748442952606E-5
desktop,1200px-1px,200,7303959,2.7382410005313558E-5
mobile,1340px,281,10328202,2.72070588859513E-5
desktop,992px-1px,197,7303959,2.6971673855233853E-5
mobile,1279px,278,10328202,2.6916592065104847E-5
desktop,1340px,195,7303959,2.669784975518072E-5
desktop,1240px,195,7303959,2.669784975518072E-5
desktop,prefers-reduced-transparency,194,7303959,2.656093770515415E-5
mobile,450px,273,10328202,2.643248069702742E-5
mobile,360px,262,10328202,2.5367435687257085E-5
mobile,man-width,262,10328202,2.5367435687257085E-5
desktop,480px,184,7303959,2.5191817204888472E-5
desktop,mim-width,184,7303959,2.5191817204888472E-5
desktop,man-width,184,7303959,2.5191817204888472E-5
desktop,360px,184,7303959,2.5191817204888472E-5
desktop,1200px,182,7303959,2.4917993104835335E-5
mobile,monochrome,257,10328202,2.4883324319179658E-5
desktop,--break-lg,176,7303959,2.409652080467593E-5
mobile,992px,239,10328202,2.314052339410093E-5
desktop,-ms-view-state,169,7303959,2.3138136454489954E-5
desktop,-webkit-pixel-ratio,167,7303959,2.286431235443682E-5
mobile,main-height,229,10328202,2.2172300657946077E-5
mobile,mim-width,228,10328202,2.2075478384330594E-5
desktop,-ms-ime-align,160,7303959,2.1905928004250845E-5
desktop,maxwidth,157,7303959,2.149519185417114E-5
desktop,1024px,156,7303959,2.1358279804144573E-5
mobile,992px-1px,217,10328202,2.1010433374560258E-5
desktop,main-height,152,7303959,2.0810631604038302E-5
mobile,1200px-1px,214,10328202,2.07199665537138E-5
mobile,-webkit-pixel-ratio,211,10328202,2.0429499732867348E-5
mobile,--rio-container-width,204,10328202,1.9751743817558952E-5
desktop,1279px,141,7303959,1.930459905374606E-5
mobile,1200px,192,10328202,1.858987653417313E-5
mobile,maxwidth,190,10328202,1.839623198694216E-5
mobile,prefers-reduced-transparency,189,10328202,1.8299409713326677E-5
mobile,800px-1px,188,10328202,1.820258743971119E-5
mobile,min-device-pixelxel-ratio,187,10328202,1.8105765166095707E-5
desktop,576px-1px,132,7303959,1.807239060350695E-5
desktop,--rio-container-width,132,7303959,1.807239060350695E-5
desktop,desktop,130,7303959,1.7798566503453812E-5
mobile,--break-lg,183,10328202,1.7718476071633767E-5
desktop,mdax-width,128,7303959,1.7524742403400678E-5
mobile,480px,177,10328202,1.7137542429940854E-5
desktop,min-wdth,125,7303959,1.7114006253320973E-5
desktop,max-width600px,124,7303959,1.6977094203294407E-5
desktop,250px--10px,122,7303959,1.670327010324127E-5
mobile,--medium,171,10328202,1.6556608788247944E-5
mobile,-ms-ime-align,169,10328202,1.6362964241016975E-5
desktop,--gutter-large,119,7303959,1.6292533953161565E-5
mobile,-ms-view-state,168,10328202,1.6266141967401488E-5
mobile,prefers-color-schame,167,10328202,1.6169319693786005E-5
mobile,1024px,167,10328202,1.6169319693786005E-5
desktop,lg,115,7303959,1.5744885753055294E-5
desktop,max-size,115,7303959,1.5744885753055294E-5
mobile,max-width600px,162,10328202,1.568520832570858E-5
desktop,-ms-automation,114,7303959,1.5607973703028727E-5
mobile,mostlymobile,160,10328202,1.549156377847761E-5
mobile,576px-1px,153,10328202,1.4813807863169214E-5
desktop,max-width768px,108,7303959,1.4786501402869321E-5
mobile,mdax-width,152,10328202,1.471698558955373E-5
mobile,min-wdth,146,10328202,1.4136051947860818E-5
mobile,--gutter-large,145,10328202,1.4039229674245333E-5
desktop,480px-1px,102,7303959,1.3965029102709914E-5
desktop,--screen-sm,102,7303959,1.3965029102709914E-5
desktop,800px-1px,102,7303959,1.3965029102709914E-5
desktop,max-width767px,101,7303959,1.3828117052683346E-5
desktop,620px,100,7303959,1.3691205002656779E-5
desktop,mmin-width,100,7303959,1.3691205002656779E-5
mobile,max-width-device-width,134,10328202,1.2974184664474997E-5
mobile,desktop,134,10328202,1.2974184664474997E-5
mobile,mmin-width,134,10328202,1.2974184664474997E-5
mobile,-moz-device-aspect-ratio,130,10328202,1.2586895570013057E-5
mobile,max-size,129,10328202,1.2490073296397572E-5
mobile,-ms-automation,128,10328202,1.2393251022782088E-5
mobile,max,128,10328202,1.2393251022782088E-5
mobile,620px,124,10328202,1.2005961928320148E-5
mobile,max-width768px,123,10328202,1.1909139654704661E-5
mobile,480px-1px,122,10328202,1.1812317381089176E-5
mobile,lg,121,10328202,1.1715495107473691E-5
mobile,--small-only,116,10328202,1.1231383739396267E-5
mobile,--sm-src,116,10328202,1.1231383739396267E-5
mobile,787px,115,10328202,1.1134561465780782E-5
mobile,-webkit-min-device-pixel-ration,114,10328202,1.1037739192165297E-5
mobile,250px--10px,114,10328202,1.1037739192165297E-5
mobile,min,110,10328202,1.0650450097703355E-5
mobile,max-width767px,109,10328202,1.055362782408787E-5
mobile,-webkit-video-playable-inline,106,10328202,1.0263161003241416E-5
mobile,600px,104,10328202,1.0069516456010446E-5
mobile,md,103,10328202,9.972694182394961E-6
mobile,sm,100,10328202,9.682227361548506E-6
